电影名,导演,评分,评价人数,评价
我是山姆/I Am Sam/不一样的爸爸(港)/他不笨，他是我爸爸(台),杰茜·尼尔森 Jessie Nelson,9.0,375851人,N/A
机器人之梦/Robot Dreams/再见机器人(台)/汪汪梦里人(港),巴勃罗·贝格尔 Pablo Berger,9.1,433152人,N/A
阳光姐妹淘/써니/阳光姊妹淘(港)/桑尼,姜炯哲 Hyeong-Cheol Kang,8.8,637711人,再多各自牛逼的时光，也比不上一起傻逼的岁月。
恐怖直播/더 테러 라이브/死亡“动”新闻(港)/恐怖攻击直播(台),金秉祐 Byeong-woo Kim,8.7,727164人,恐怖分子的“秋菊打官司”。
黑客帝国3：矩阵革命/The Matrix Revolutions/22世纪杀人网络3：惊变世纪(港)/骇客任务完结篇：最后战役(台),,8.8,496575人,N/A
小丑/Joker/小丑起源电影：罗密欧/Romeo,托德·菲利普斯 Todd Phillips,8.7,1124045人,N/A
"三块广告牌/Three Billboards Outside Ebbing, Missouri/广告牌杀人事件(港)/意外(台)",马丁·麦克唐纳 Martin McDonagh,8.7,918524人,怼天怼地，你走后，她与世界为敌。
谍影重重3/The Bourne Ultimatum/叛谍追击3：最后通牒(港)/神鬼认证：最后通牒 (台),保罗·格林格拉斯 Paul Greengrass,8.9,470089人,像吃了苏打饼一样干脆的电影。
电锯惊魂/Saw/恐惧斗室(港)/夺魂锯(台),詹姆斯·温 James Wan,8.7,611849人,真相就在眼前。
末路狂花/Thelma & Louise/塞尔玛与路易丝,雷德利·斯科特 Ridley Scott,9.0,344791人,N/A
高山下的花环//卫国军魂(港)/Wreaths at the Foot of the Mountain,谢晋 Jin Xie,9.5,157748人,N/A
无间道2/無間道II/无间道前传/Infernal Affairs II,刘伟强 Andrew Lau / 麦兆辉 Alan Mak,8.8,565736人,N/A
达拉斯买家俱乐部/Dallas Buyers Club/续命枭雄(港)/药命俱乐部(台),让-马克·瓦雷 Jean-Marc Vallée,8.8,505159人,Jared Leto的腿比女人还美！
疯狂原始人/The Croods/古鲁家族(港/台),,8.7,920045人,老少皆宜，这就是好莱坞动画的魅力。
绿里奇迹/The Green Mile/绿色奇迹(台)/绿色英里,弗兰克·德拉邦特 Frank Darabont,8.9,387510人,N/A
爱在午夜降临前/Before Midnight/情约半生(港)/爱在午夜希腊时(台),理查德·林克莱特 Richard Linklater,8.9,472348人,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
疯狂的石头//Crazy Stone,宁浩 Hao Ning,8.6,924526人,中国版《两杆大烟枪》。
雨中曲/Singin' in the Rain/万花嬉春(港/台),斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,9.1,268036人,N/A
2001太空漫游/2001: A Space Odyssey/2001：星际漫游/2001：太空奥德赛,斯坦利·库布里克 Stanley Kubrick,8.9,395447人,N/A
海街日记/海街diary/海街女孩日记(港)/Kamakura Diary,是枝裕和 Hirokazu Koreeda,8.8,520064人,是枝裕和的家庭习作。
风之谷/風の谷のナウシカ/风谷少女/Kaze no tani no Naushika,宫崎骏 Hayao Miyazaki,8.9,393159人,N/A
上帝之城/Cidade de Deus/无主之城(港)/无法无天(台),,9.0,333019人,N/A
心迷宫//殡棺/The Coffin in the Mountain,忻钰坤 Yukun Xin,8.7,616288人,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
英雄本色//A Better Tomorrow/Gangland Boss,吴宇森 John Woo,8.6,605335人,N/A
记忆碎片/Memento/凶心人(港)/记忆拼图(台),克里斯托弗·诺兰 Christopher Nolan,8.7,668048人,N/A
